DRS,GVE,Região de Saúde, município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,TOTAL
17,XXXIII,35172,3503505,0,0,0,0,0,1,1,1,1,2,2,3,4,5,9,10,11,12,12
6,XVI,35063,3503604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXIX,35151,3503703,12,33,57,95,166,199,225,241,251,263,264,270,271,276,280,280,281,281,281
7,XVII,35072,3503802,1,1,2,3,4,4,5,5,11,15,21,28,35,38,40,43,43,43,43
1,VIII,35011,3503901,0,1,2,2,3,3,4,4,4,5,6,7,8,8,9,10,10,10,10
15,XXX,35153,3503950,0,0,0,0,1,2,3,3,5,5,6,7,7,7,7,8,9,9,9
9,XIII,35092,3504008,3,8,16,20,36,65,98,138,200,259,317,362,412,458,489,537,577,620,620
7,XVII,35071,3504107,7,13,16,23,26,31,37,46,53,61,69,72,74,80,81,85,86,89,89
2,XI,35021,3504206,0,4,5,9,14,21,25,30,37,43,50,57,61,68,69,76,79,79,79
6,XV,35062,3504305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2,XI,35023,3504404,0,0,0,0,3,4,4,4,7,9,14,18,21,25,32,34,39,41,41
6,XVI,35061,3504503,0,0,0,0,0,0,0,1,1,2,4,7,7,8,8,8,8,8,8
15,XXIX,35155,3504602,1,5,8,10,16,20,26,36,40,42,42,42,43,43,44,45,45,46,46
6,XV,35062,3504701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXIX,35155,3504800,0,0,1,1,1,2,2,3,5,7,7,8,8,8,8,8,10,11,11
17,XXXIII,35172,3504909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XVI,35061,3505005,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,9,12,12,12
2,XI,35023,3505104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XV,35064,3505203,1,3,3,3,4,6,11,14,15,15,16,17,20,23,33,45,51,55,55
6,XV,35064,3505302,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
16,XXXII,35162,3505351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,XXIII,35121,3505401,0,0,0,0,1,1,7,10,22,35,36,42,44,49,49,49,49,50,50
5,XIV,35051,3505500,2,2,6,8,8,11,16,20,21,24,25,27,30,32,32,34,34,35,35
13,XXIV,35131,3505609,1,4,8,14,16,23,32,38,50,63,77,77,82,82,82,82,83,83,83
1,X,35014,3505708,0,0,0,0,0,1,1,2,2,3,4,4,4,4,5,6,6,6,6
9,XIX,35095,3505807,6,19,52,92,177,339,509,618,729,750,770,809,873,898,901,902,902,902,902
13,XXIV,35133,3505906,0,0,0,2,2,2,3,4,5,10,12,13,18,19,21,22,24,24,24
6,XV,35062,3506003,17,37,59,102,170,211,258,314,359,405,449,465,483,502,510,518,530,537,537
5,XIV,35052,3506102,0,3,4,8,13,15,21,38,63,82,111,123,144,160,176,192,205,214,214
2,XI,35021,3506201,0,2,2,4,4,13,16,17,17,18,20,20,22,23,24,25,25,27,27
9,XIII,35094,3506300,0,0,0,1,1,1,3,3,3,3,3,3,3,4,5,5,5,6,6
4,XXV,35041,3506359,1,2,2,3,4,5,9,11,12,13,13,14,18,19,19,19,19,20,20
2,XI,35021,3506409,0,3,3,8,10,13,17,19,26,29,33,35,36,38,41,42,44,45,45
2,XI,35023,3506508,6,21,32,49,78,124,163,184,226,272,302,338,368,390,400,412,416,420,420
1,VIII,35011,3506607,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3,XII,35031,3506706,0,0,0,0,1,7,11,12,20,22,23,25,26,26,28,31,32,34,34
6,XV,35064,3506805,0,0,1,2,4,4,4,4,4,4,5,6,7,7,7,7,7,7,7
6,XVI,35063,3506904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,XXXI,35163,3507001,0,0,0,0,0,1,5,7,9,14,18,22,24,30,35,39,40,41,41
7,XVII,35071,3507100,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3
16,XXXII,35162,3507159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,XIII,35092,3507209,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
6,XV,35064,3507308,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3,XII,35032,3507407,1,2,9,9,20,24,35,42,55,69,73,76,80,84,89,98,101,110,110
6,XV,35062,3507456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XVI,35063,3507506,1,1,1,1,2,6,6,9,11,11,13,13,13,13,15,18,18,18,18
7,XVII,35071,3507605,0,0,2,3,6,11,12,15,20,26,33,36,39,46,48,51,53,53,53
2,XI,35023,3507704,0,0,0,0,0,0,1,1,2,3,5,5,7,11,13,20,24,25,25
2,XI,35023,3507753,0,0,0,1,1,3,3,5,5,5,5,6,15,19,21,25,25,25,25
13,XXIV,35133,3507803,0,1,1,2,4,6,12,17,19,22,27,32,35,39,42,44,44,44,44
6,XV,35064,3507902,3,7,15,18,24,43,63,81,104,136,167,193,205,216,216,231,242,248,248
16,XXXII,35162,3508009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,XI,35023,3508108,6,16,25,42,62,90,112,136,183,225,273,297,329,350,373,393,418,430,430
8,XVIII,35083,3508207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XV,35062,3508306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,XVII,35073,3508405,0,2,2,2,2,2,3,4,5,5,5,5,7,9,11,14,16,18,18
17,XXVII,35171,3508504,0,0,1,3,4,7,13,15,20,28,32,32,33,43,46,50,54,58,58
17,XXXIII,35172,3508603,0,14,19,24,36,48,72,87,107,135,159,178,206,215,228,242,249,251,251
14,XXVI,35143,3508702,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,4,4,4,4
6,XV,35065,3508801,0,0,0,0,0,0,0,1,1,4,6,6,8,9,13,13,15,15,15
11,XXI,35112,3508900,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3
1,IX,35012,3509007,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,XXII,35114,3509106,36,80,122,134,138,154,159,163,166,166,166,167,167,167,167,171,174,174,174
1,IX,35012,3509205,0,0,1,1,1,3,5,7,11,11,12,12,12,13,13,13,13,13,13
12,XXIII,35121,3509254,3,11,25,52,87,182,370,633,833,924,933,942,999,1035,1041,1057,1075,1089,1089
5,XIV,35051,3509304,0,0,1,1,1,1,2,2,4,9,10,12,18,18,22,22,22,23,23
13,XXIV,35133,3509403,0,0,0,0,2,7,9,9,12,19,21,25,27,34,36,42,47,48,48
16,XXXI,35161,3509452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
7,XVII,35072,3509502,19,66,113,187,258,385,539,708,896,1149,1411,1631,1833,2019,2228,2434,2627,2762,2762
7,XVII,35073,3509601,0,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4
17,XXXIII,35174,3509700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,XIX,35093,3509809,0,0,1,1,1,1,1,1,2,4,5,7,9,11,14,24,31,32,32
12,XXIII,35121,3509908,0,0,0,0,1,1,2,4,6,9,9,11,11,17,21,24,27,28,28
17,XXXIII,35172,3509957,0,1,1,1,3,6,16,24,29,36,40,44,45,47,48,48,48,48,48
9,XIII,35092,3510005,0,2,3,6,9,14,21,29,42,59,74,90,123,151,165,186,199,215,215
3,XII,35033,3510104,0,0,0,0,1,7,10,13,13,15,16,16,16,18,20,20,20,20,20
9,XIII,35094,3510153,0,0,0,1,1,1,5,5,8,8,9,13,14,16,17,21,21,21,21
16,XXXI,35161,3510203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,XXXI,35163,3510302,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2
10,XX,35103,3510401,1,2,3,5,5,7,7,8,8,9,9,9,9,9,9,9,9,10,10
17,XXVIII,35173,3510500,7,15,25,44,64,86,108,130,163,226,326,369,378,390,402,402,404,405,405
1,X,35014,3510609,0,0,0,0,1,1,1,2,2,3,4,4,5,5,6,8,8,8,8
15,XXIX,35157,3510708,5,13,26,36,50,60,68,73,84,91,97,102,116,128,139,150,156,156,156
14,XXVI,35143,3510807,7,19,25,38,48,71,104,160,215,278,335,369,394,429,472,525,571,590,590
13,XXIV,35133,3510906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,XI,35022,3511003,0,4,8,12,26,41,63,91,127,176,207,224,254,278,295,305,316,322,322
15,XXIX,35151,3511102,173,470,945,1728,2792,3798,4687,5253,5738,6190,6493,6656,6790,6885,6957,7025,7105,7159,7159
15,XXIX,35151,3511201,0,2,5,11,12,17,19,21,25,25,26,26,26,26,26,26,26,26,26
15,XXIX,35155,3511300,0,0,3,4,6,10,12,13,14,15,17,19,19,21,22,22,22,22,22
6,XVI,35061,3511409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
16,XXXI,35161,3511508,0,0,0,0,0,0,1,2,3,7,9,11,12,12,12,12,12,12,12
16,XXXI,35161,3511607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
10,XX,35103,3511706,0,0,0,0,0,4,5,5,8,11,14,16,19,25,32,39,57,64,64
2,XI,35023,3511904,0,1,2,5,6,11,11,11,19,32,52,65,69,70,71,73,73,73,73
5,XIV,35051,3512001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,XIV,35051,3512100,0,0,0,0,1,1,1,1,1,1,1,3,3,4,5,5,5,6,6
10,XX,35101,3512209,97,270,448,642,809,932,1148,1289,1417,1512,1576,1596,1632,1650,1665,1677,1683,1689,1689
6,XVI,35063,3512308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
10,XX,35102,3512407,0,1,4,4,8,15,26,35,56,88,110,147,190,231,281,319,355,383,383
2,XI,35023,3512506,0,0,0,0,0,0,1,2,2,2,2,2,3,3,4,5,9,9,9
6,XVI,35061,3512605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,XX,35104,3512704,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2
7,XVII,35072,3512803,0,0,0,1,2,3,6,8,10,16,17,18,23,27,33,36,40,40,40
15,XXIX,35157,3512902,1,9,13,26,35,42,50,52,55,55,55,55,55,55,55,55,55,55,55
1,X,35013,3513009,0,0,0,1,3,7,9,11,12,14,15,16,17,18,20,22,22,22,22
13,XXIV,35132,3513108,2,2,5,9,15,30,45,58,64,92,110,121,134,141,147,149,152,155,155
8,XVIII,35081,3513207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,XIII,35092,3513306,0,1,2,6,12,33,43,53,67,76,78,78,78,79,79,79,79,79,79
17,XXXIII,35172,3513405,48,168,427,785,1184,1919,2704,2917,2986,3103,3141,3142,3143,3143,3143,3143,3143,3143,3143
4,XXV,35041,3513504,3,7,9,13,21,40,54,68,97,136,161,171,178,187,198,214,228,242,242
17,XXXIII,35172,3513603,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
3,XII,35034,3513702,1,1,1,1,1,3,3,4,4,5,7,11,15,19,19,22,22,24,24
1,VII,35015,3513801,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,5
15,XXX,35153,3513850,1,1,1,3,4,7,8,11,15,17,19,19,21,23,24,25,28,28,28
14,XXVI,35143,3513900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,XII,35033,3514007,0,0,1,1,1,1,2,4,5,6,7,7,8,8,10,10,10,10,10
6,XV,35064,3514106,1,1,2,2,2,4,4,4,6,7,7,8,9,11,19,24,25,26,26
15,XXX,35153,3514205,0,1,2,5,7,7,8,8,10,12,12,12,12,18,20,20,21,21,21
3,XII,35034,3514304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXII,35111,3514403,12,58,130,221,321,452,590,696,872,990,1084,1164,1264,1305,1347,1411,1433,1436,1436
6,XV,35062,3514502,0,1,1,2,2,2,3,3,3,4,7,14,16,23,30,35,38,42,42
13,XXIV,35131,3514601,2,4,9,14,17,29,46,49,60,68,76,87,96,109,118,123,124,124,124
9,XIX,35093,3514700,0,0,0,0,0,0,0,0,0,2,3,4,5,5,6,6,6,6,6
12,XXIII,35121,3514809,0,0,0,1,1,2,5,9,21,37,54,62,69,82,85,85,86,86,86
10,XX,35103,3514908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXIX,35151,3514924,0,0,0,0,2,3,7,11,14,20,24,25,25,25,25,27,27,27,27
15,XXIX,35151,3514957,0,0,1,2,8,11,13,14,14,14,14,14,14,14,14,14,14,14,14
1,X,35013,3515004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1,X,35013,3515103,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,XXI,35112,3515129,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,4,4
10,XX,35102,3515152,3,5,6,9,11,17,28,35,47,65,78,85,88,90,94,97,100,103,103
14,XXVI,35142,3515186,0,0,0,2,3,5,8,9,13,19,24,27,33,39,47,60,73,77,77
9,XIII,35094,3515194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXX,35154,3515202,45,88,162,247,338,424,509,554,579,603,622,635,648,655,658,658,661,668,668
